route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
7084,1,001,SINAI - FORT McHENRY,,3,,0000FF,FFFFFF
7085,1,003,SHEPPARD PRATT/CROMWELL-DOWNTOWN,,3,,0000FF,FFFFFF
7086,1,004,TURNERS STATION - C C B C ESSEX,,3,,0000FF,FFFFFF
7087,1,005,MONDAWMIN - CEDONIA,,3,,0000FF,FFFFFF
7088,1,007,MONDAWMIN - CANTON,,3,,0000FF,FFFFFF
7089,1,008,LUTHERVILLE - UMTC,,3,,0000FF,FFFFFF
7090,1,009,LUTHERVILLE-INTERNATIONAL CIRCLE,,3,,0000FF,FFFFFF
7091,1,010,RT. 40/ROLLING - BULLNECK RD.,,3,,0000FF,FFFFFF
7092,1,011,TOWSONTOWNE - CANTON CROSSING,,3,,0000FF,FFFFFF
7093,1,012,STELLA MARIS - NORTH AVE,,3,,0000FF,FFFFFF
7094,1,013,CANTON/FELLS POINT - WALBROOK,,3,,0000FF,FFFFFF
7095,1,014,UMTC/PATAPSCO - ANNAPOLIS,,3,,0000FF,FFFFFF
7096,1,015,SECURITY MALL - OVERLEA/PERRY HALL,,3,,0000FF,FFFFFF
7097,1,016,MONDAWMIN - BROOKLYN HOMES,,3,,0000FF,FFFFFF
7098,1,017,PATAPSCO STATION-PARKWAY CENTER,,3,,0000FF,FFFFFF
7099,1,018,GLEN - BAAS & TALMUDICAL,,3,,800080,FFFFFF
7100,1,019,STATE CENTER - GOUCHER/CARNEY,,3,,0000FF,FFFFFF
7101,1,020,SECURITY SQUARE MALL  -  DUNDALK,,3,,0000FF,FFFFFF
7102,1,021,FELLS POINT - MONDAWMIN,,3,,0000FF,FFFFFF
7103,1,022,BAYVIEW - MONDAWMIN,,3,,0000FF,FFFFFF
7104,1,023,RT40 & ROLLING - FOX RIDGE,,3,,0000FF,FFFFFF
7105,1,024,WHISPERING WOODS - MORAVIA,,3,,0000FF,FFFFFF
7106,1,027,PLAZA STATION - PORT COVINGTON,,3,,0000FF,FFFFFF
7107,1,029,CHERRY HILL STATION SHUTTLE,,3,,0000FF,FFFFFF
7108,1,030,BAYVIEW - EDMONDSON VILLAGE,,3,,0000FF,FFFFFF
7109,1,033,ROGERS STATION - MORAVIA,,3,,0000FF,FFFFFF
7110,1,035,WHITEMARSH P&R - UMBC / BLIND IND.,,3,,0000FF,FFFFFF
